processo_id,numero_processo,cliente_id,tipo,fase,status,advogado_responsavel,data_abertura,prazo_proximo,valor_causa,vara,observacoes
57,4865461-96.2025.2.64.9143,917,TRABALHISTA,execução,closed,Dra Fontes,27 de maio de 2020,15/09/2026,247530.00,20ª Vara Criminal de Recife,cliente não responde
58,2909764-51.2025.7.78.2223,1323,TRABALHISTA,arquivado,em recurso,Dra. Cavalcante,17/01/2021,13 de junho de 2026,423818.00,19ª Vara Criminal de Recife,urgente
59,3306375-34.2024.9.48.9154,899,cível,recurso,ATIVO,Dra. Fontes,16/10/21,03/05/2026,R$ 19.724,7ª Vara Trabalhista de Recife,
60,9071705-28.2021.9.78.4746,1105,cível,arquivado,encerrado,DRA. CAVALCANTE,02/09/23,03/06/25,R$ 134.742,6ª Vara Trabalhista de Recife,urgente
61,8129073-22.2024.4.16.9656,291,TRABALHISTA,audiência,closed,Dra Fontes,10 de abril de 2026,,,18ª Vara Trabalhista de Recife,aguardando documentos
62,5625093-80.2022.9.16.6618,9,civil,audiência,em recurso,Dr. Barros,17/04/22,2026-04-19,R$ 230.442,11ª Vara Cível de Recife,cliente não responde
63,5660649-86.2020.5.86.9291,1455,trabalhista,sentença,active,DRA. CAVALCANTE,2025-10-22,4 de novembro de 2025,,1ª Vara Criminal de Recife,aguardando documentos
64,2118934-75.2023.5.97.9563,257,Trabalhista,recurso,ativo,Dra Fontes,25/03/2026,20 de junho de 2025,250965.00,17ª Vara Trabalhista de Recife,
65,4134515-43.2021.8.70.4879,263,Trabalhista,recurso,encerrado,Dr. Barros,2020-01-05,04/03/2025,48486.00,9ª Vara Cível de Recife,
66,2341370-92.2024.9.60.8122,1383,TRABALHISTA,inicial,settlement,Dra. Fontes,29/11/2023,11 de maio de 2026,,19ª Vara Criminal de Recife,cliente não responde
67,6368709-92.2024.7.99.9426,222,Civil,audiência,Encerrado,Dr. Barros,2024-06-21,12 de abril de 2026,,7ª Vara Trabalhista de Recife,em negociação
68,5747786-52.2023.7.30.3750,33,cível,sentença,ativo,DRA. CAVALCANTE,2021-10-23,2025-10-16,378631,15ª Vara Criminal de Recife,
69,5661974-14.2020.6.39.3137,374,civil,execução,suspenso,Dra. Cavalcante,2022-09-25,22/12/2026,,14ª Vara Cível de Recife,em negociação
70,2129757-49.2025.4.14.5657,686,Trabalhista,instrução,encerrado,Dra. Cavalcante,8 de setembro de 2023,,R$ 41.303,1ª Vara Cível de Recife,aguardando documentos
71,1778149-24.2023.1.86.3557,276,Civil,execução,Encerrado,Dra. Fontes,03/04/25,5 de setembro de 2026,R$ 452.684,10ª Vara Criminal de Recife,aguardando documentos
72,8215015-64.2021.5.32.1893,424,TRABALHISTA,sentença,ATIVO,Dra. Cavalcante,17 de março de 2021,17 de fevereiro de 2026,R$ 137.198,13ª Vara Trabalhista de Recife,cliente não responde
73,3168718-77.2025.2.92.8027,320,trabalhista,acordo extrajudicial,ativo,Dra. Cavalcante,22 de julho de 2021,22 de fevereiro de 2026,79442,18ª Vara Trabalhista de Recife,
74,8125196-18.2023.1.53.1215,341,Trabalhista,execução,encerrado,Dr. Barros,11/01/2020,,R$ 390.161,18ª Vara Trabalhista de Recife,cliente não responde
75,2884639-86.2023.2.31.8737,177,Trabalhista,inicial,settlement,Dr. Barros,2 de agosto de 2023,25/01/25,436961.00,7ª Vara Criminal de Recife,
76,1013314-48.2023.4.39.2083,1426,trabalhista,arquivado,em recurso,DRA. CAVALCANTE,08/06/2022,2026-12-31,51876.00,19ª Vara Cível de Recife,aguardando documentos
77,3710559-31.2020.9.95.2540,1206,civil,instrução,appeal,Dra Fontes,15/01/2020,14/11/2025,181120,11ª Vara Criminal de Recife,aguardando documentos
78,4493339-70.2021.7.17.8725,369,cível,inicial,active,Dra. Fontes,11 de dezembro de 2022,11 de outubro de 2026,,6ª Vara Criminal de Recife,cliente não responde
79,1093623-59.2025.7.92.5441,1049,trabalhista,arquivado,encerrado,Dr. Barros,30 de outubro de 2025,,304933,9ª Vara Trabalhista de Recife,em negociação
80,3724721-44.2021.9.75.5553,712,civil,inicial,appeal,Dra. Cavalcante,29 de novembro de 2023,2025-08-06,R$ 265.673,20ª Vara Criminal de Recife,
81,5159219-49.2023.5.25.3676,194,Trabalhista,sentença,closed,dr. melo,25 de setembro de 2024,1 de maio de 2026,191635.00,16ª Vara Trabalhista de Recife,urgente
82,3376786-12.2020.7.64.5093,202,TRABALHISTA,sentença,encerrado,Dr. Barros,14/12/2025,10 de agosto de 2025,280756,3ª Vara Criminal de Recife,cliente não responde
83,2292432-35.2025.5.83.7063,1311,TRABALHISTA,sentença,suspended,Dr. Barros,2021-10-12,19 de março de 2026,440579.00,15ª Vara Criminal de Recife,urgente
84,4314934-26.2021.7.14.7244,810,trabalhista,inicial,Ativo,Dr. Barros,14/03/25,2026-08-21,R$ 285.735,11ª Vara Criminal de Recife,urgente
85,4687348-31.2023.1.92.6907,953,TRABALHISTA,acordo extrajudicial,suspenso,DRA. CAVALCANTE,06/04/24,2026-07-17,198649.00,1ª Vara Cível de Recife,cliente não responde
86,6160516-66.2024.5.17.7150,256,civil,audiência,ativo,Dr. Barros,31 de maio de 2025,12/07/2025,457445,12ª Vara Cível de Recife,aguardando documentos
87,4681694-71.2021.9.28.7350,904,Trabalhista,execução,encerrado,Dra. Cavalcante,22/11/25,27/02/25,R$ 381.648,9ª Vara Criminal de Recife,cliente não responde
88,2554938-48.2024.1.13.4544,371,cível,audiência,ativo,Dra Fontes,11/03/2025,2026-10-04,R$ 79.079,4ª Vara Cível de Recife,cliente não responde
89,1754781-28.2025.6.89.2162,697,civil,inicial,ativo,Dr. Barros,2025-07-13,09/08/2026,R$ 319.953,6ª Vara Cível de Recife,em negociação
90,1353022-94.2023.9.79.1203,836,civil,arquivado,em recurso,Dr. Melo,2021-11-19,14 de janeiro de 2025,76356,13ª Vara Criminal de Recife,cliente não responde
91,1964519-55.2020.7.58.6781,285,Trabalhista,audiência,acordo,Dra Fontes,06/09/2022,13/10/26,,9ª Vara Trabalhista de Recife,urgente
92,9060164-41.2020.5.36.2381,1224,TRABALHISTA,execução,ATIVO,Dra Fontes,22/07/20,10 de julho de 2026,164346,8ª Vara Trabalhista de Recife,
93,7223110-52.2024.2.44.8994,135,TRABALHISTA,arquivado,acordo,Dr. Barros,20/12/23,2026-06-11,R$ 145.335,18ª Vara Criminal de Recife,em negociação
94,4893809-11.2021.7.19.9759,1355,Trabalhista,sentença,ATIVO,Dr. Barros,2024-09-01,10 de agosto de 2025,276363,5ª Vara Cível de Recife,em negociação
95,9060164-41.2020.5.36.2381,944,Civil,inicial,encerrado,Dra Fontes,11/09/25,2025-10-25,R$ 346.020,10ª Vara Cível de Recife,em negociação
96,5472823-70.2022.4.41.7624,882,cível,audiência,Ativo,Dr. Melo,07/04/20,09/11/25,R$ 382.870,13ª Vara Trabalhista de Recife,
97,8286382-50.2025.4.53.4414,17,TRABALHISTA,execução,active,Dra. Fontes,6 de dezembro de 2021,2026-09-10,R$ 250.073,5ª Vara Criminal de Recife,
98,1878000-50.2025.7.58.1197,1301,Trabalhista,recurso,ATIVO,Dr. Melo,21/04/2026,6 de março de 2025,62639,5ª Vara Criminal de Recife,cliente não responde
99,4065326-72.2025.8.58.5304,10,Civil,sentença,settlement,Dr. Melo,22/04/26,03/08/25,,8ª Vara Cível de Recife,em negociação
100,5947618-28.2023.6.53.6118,1271,trabalhista,instrução,Ativo,Dra. Cavalcante,02/04/21,04/11/26,,6ª Vara Trabalhista de Recife,em negociação
101,6836135-90.2022.9.37.5643,306,Trabalhista,sentença,ativo,Dr. Barros,09/11/23,22/02/25,295459,10ª Vara Trabalhista de Recife,
102,1735592-50.2022.9.87.5612,1295,civil,recurso,ativo,Dra. Cavalcante,20 de agosto de 2023,04/05/26,R$ 168.926,2ª Vara Trabalhista de Recife,
103,3667022-35.2020.9.76.3115,382,TRABALHISTA,recurso,closed,Dra Fontes,10 de outubro de 2022,30/01/2026,50544,12ª Vara Trabalhista de Recife,cliente não responde
104,2545435-52.2025.3.59.7623,342,Civil,sentença,ativo,Dra. Cavalcante,3 de outubro de 2024,,,6ª Vara Cível de Recife,aguardando documentos
105,8588997-88.2020.6.29.5987,122,cível,instrução,ativo,Dra. Fontes,02/11/24,29/08/25,233498.00,11ª Vara Cível de Recife,cliente não responde
106,4563779-48.2023.2.87.9606,1477,trabalhista,acordo extrajudicial,suspenso,Dr. Barros,21/07/2022,2025-04-13,R$ 152.008,10ª Vara Criminal de Recife,
107,3922248-27.2025.1.42.4047,1347,Trabalhista,inicial,settlement,Dr. Barros,2021-08-17,6 de setembro de 2025,R$ 455.374,8ª Vara Cível de Recife,
108,8220628-15.2021.8.54.9077,272,Civil,acordo extrajudicial,encerrado,DRA. CAVALCANTE,30/03/24,13/09/2026,178662.00,9ª Vara Cível de Recife,
109,7687292-20.2021.4.85.7539,1449,Trabalhista,recurso,em recurso,dr. melo,20 de novembro de 2024,2026-01-17,R$ 469.833,16ª Vara Cível de Recife,cliente não responde
110,4494463-44.2022.5.80.7542,220,civil,sentença,Ativo,Dr. Barros,14 de abril de 2021,2026-04-24,415129.00,7ª Vara Cível de Recife,aguardando documentos
111,1833330-93.2025.8.61.3405,876,Trabalhista,inicial,suspenso,Dra. Cavalcante,24/08/2025,2026-09-26,,11ª Vara Trabalhista de Recife,
112,7245951-43.2021.4.11.7623,944,TRABALHISTA,inicial,ativo,Dra. Cavalcante,10/01/2024,11 de junho de 2026,158101,12ª Vara Cível de Recife,
113,8220628-15.2021.8.54.9077,562,civil,sentença,Ativo,Dr. Melo,25/01/2020,24 de outubro de 2026,,7ª Vara Criminal de Recife,
114,2554938-48.2024.1.13.4544,710,trabalhista,arquivado,active,DRA. CAVALCANTE,27/01/25,2025-02-18,R$ 147.711,14ª Vara Criminal de Recife,cliente não responde
115,5210656-44.2021.1.39.2474,1392,Civil,sentença,ATIVO,Dra. Cavalcante,10 de setembro de 2022,09/07/2026,R$ 132.709,6ª Vara Cível de Recife,
116,2294596-63.2020.6.38.9193,643,trabalhista,execução,closed,Dra. Fontes,2024-03-17,,88719.00,18ª Vara Criminal de Recife,aguardando documentos
117,1621418-87.2020.9.55.9337,741,trabalhista,recurso,appeal,Dr. Melo,2020-11-10,20 de novembro de 2026,,14ª Vara Cível de Recife,
118,1742202-63.2023.6.68.9372,1158,Trabalhista,recurso,encerrado,Dra Fontes,07/04/2024,23/04/26,229610.00,1ª Vara Trabalhista de Recife,
119,3464073-25.2022.8.73.5075,527,civil,inicial,closed,Dra Fontes,13/02/2025,05/09/25,19462,6ª Vara Cível de Recife,urgente
120,3879233-61.2024.5.30.1494,1084,civil,instrução,ATIVO,Dra. Cavalcante,2022-12-20,08/11/25,,20ª Vara Trabalhista de Recife,
121,7599278-46.2021.4.96.3535,798,cível,acordo extrajudicial,closed,Dr. Barros,2024-10-18,30 de agosto de 2025,,14ª Vara Cível de Recife,aguardando documentos
122,5991409-16.2021.8.44.1303,821,trabalhista,arquivado,closed,Dr. Barros,9 de dezembro de 2024,26/01/25,R$ 245.525,10ª Vara Cível de Recife,
123,5472823-70.2022.4.41.7624,287,Trabalhista,arquivado,em recurso,dr. melo,08/10/2020,5 de fevereiro de 2026,R$ 112.370,10ª Vara Criminal de Recife,
124,8530609-10.2021.5.41.7151,937,civil,sentença,ativo,dr. melo,2021-02-22,2025-10-30,,14ª Vara Trabalhista de Recife,urgente
125,4721085-96.2020.6.92.9645,513,Civil,arquivado,Encerrado,Dr. Barros,22/09/2025,2025-01-23,297936.00,9ª Vara Criminal de Recife,
126,4584224-94.2025.2.57.2511,1399,TRABALHISTA,instrução,appeal,Dra. Fontes,12 de novembro de 2023,2025-07-05,R$ 316.353,2ª Vara Trabalhista de Recife,
127,2658962-39.2022.5.95.8856,457,civil,execução,acordo,Dr. Melo,2020-07-23,2026-12-04,R$ 289.801,17ª Vara Cível de Recife,
128,4687348-31.2023.1.92.6907,255,civil,instrução,em recurso,Dra. Cavalcante,02/01/25,15/02/2026,,19ª Vara Trabalhista de Recife,
129,6105303-92.2021.4.39.3868,1259,cível,audiência,ativo,Dr. Melo,22/10/21,19/05/2025,,14ª Vara Trabalhista de Recife,aguardando documentos
130,3585301-47.2021.7.73.3469,195,civil,instrução,closed,Dr. Barros,10/07/2025,03/12/26,R$ 54.656,6ª Vara Criminal de Recife,urgente
131,5483975-50.2024.8.92.4422,722,trabalhista,instrução,ativo,Dr. Barros,10/09/2024,16 de setembro de 2026,484123.00,19ª Vara Cível de Recife,aguardando documentos
132,3376786-12.2020.7.64.5093,1456,TRABALHISTA,inicial,active,Dr. Barros,2021-04-11,21/10/2026,R$ 263.868,4ª Vara Trabalhista de Recife,
133,3376786-12.2020.7.64.5093,399,civil,instrução,ativo,Dra. Fontes,09/04/25,24/06/26,24205.00,20ª Vara Cível de Recife,
134,6368709-92.2024.7.99.9426,1378,cível,execução,suspended,DRA. CAVALCANTE,01/03/2024,2025-12-07,R$ 478.854,5ª Vara Trabalhista de Recife,em negociação
135,6927716-18.2022.9.56.1445,447,trabalhista,audiência,suspenso,DRA. CAVALCANTE,09/03/2021,06/10/2025,101603,9ª Vara Trabalhista de Recife,em negociação
136,6663627-76.2023.9.26.5770,368,Trabalhista,recurso,closed,Dr. Barros,20/07/2024,5 de maio de 2025,192699,7ª Vara Criminal de Recife,em negociação
137,7381740-86.2021.2.88.6570,516,trabalhista,audiência,Ativo,Dra. Cavalcante,14/05/2024,2025-02-23,278319,19ª Vara Trabalhista de Recife,cliente não responde
138,7274275-74.2020.1.22.9780,627,cível,sentença,ATIVO,Dra Fontes,10/02/23,2025-02-02,R$ 258.469,3ª Vara Trabalhista de Recife,urgente
139,1667591-67.2025.4.69.9424,132,trabalhista,acordo extrajudicial,encerrado,Dra. Fontes,25/02/22,09/04/2026,R$ 68.451,1ª Vara Criminal de Recife,
140,5074974-98.2023.8.21.9881,272,Trabalhista,execução,suspended,Dr. Barros,2021-01-20,2026-06-22,R$ 220.899,8ª Vara Trabalhista de Recife,
141,5451988-41.2020.2.82.4041,30,cível,execução,closed,Dra. Cavalcante,2023-04-03,31/10/25,87492,12ª Vara Cível de Recife,cliente não responde
142,7486138-99.2020.5.81.4332,631,TRABALHISTA,instrução,ativo,DRA. CAVALCANTE,28/04/21,12 de junho de 2026,181351.00,4ª Vara Trabalhista de Recife,urgente
143,6254488-31.2024.9.48.3216,395,trabalhista,inicial,encerrado,Dra Fontes,2023-08-03,2026-10-14,175282.00,13ª Vara Cível de Recife,cliente não responde
144,8574876-96.2020.7.97.4673,145,Trabalhista,audiência,ativo,Dra. Fontes,2024-04-19,2025-10-01,R$ 96.975,16ª Vara Trabalhista de Recife,cliente não responde
145,6694761-39.2022.1.10.2199,887,cível,sentença,ativo,Dr. Barros,2023-11-22,5 de julho de 2026,136097.00,20ª Vara Criminal de Recife,
146,8588997-88.2020.6.29.5987,473,trabalhista,sentença,settlement,dr. melo,19/04/23,,R$ 273.638,14ª Vara Cível de Recife,
147,7515318-25.2024.4.34.6280,1382,trabalhista,recurso,appeal,dr. melo,19 de abril de 2025,24 de junho de 2026,326018.00,12ª Vara Trabalhista de Recife,
148,2575202-50.2023.1.54.9627,511,TRABALHISTA,audiência,suspended,Dr. Barros,08/11/23,,183271.00,6ª Vara Criminal de Recife,cliente não responde
149,2824928-33.2020.1.90.6467,1273,cível,acordo extrajudicial,ATIVO,dr. melo,3 de fevereiro de 2020,14 de março de 2026,114853.00,13ª Vara Trabalhista de Recife,
150,1735592-50.2022.9.87.5612,938,cível,inicial,closed,Dra. Fontes,03/06/20,26/08/26,R$ 271.683,10ª Vara Criminal de Recife,cliente não responde
151,8590346-68.2020.7.63.7780,1322,Trabalhista,arquivado,Encerrado,Dr. Barros,26/10/2024,06/07/26,,14ª Vara Criminal de Recife,
152,4314934-26.2021.7.14.7244,535,civil,inicial,ativo,Dra. Cavalcante,30 de maio de 2022,24 de setembro de 2025,439775,14ª Vara Criminal de Recife,
153,3679963-72.2020.9.29.7859,1337,civil,inicial,Ativo,Dr. Barros,2021-01-27,10/11/26,R$ 384.167,10ª Vara Criminal de Recife,
154,2753004-76.2021.8.83.9874,1251,cível,inicial,ativo,DRA. CAVALCANTE,13 de fevereiro de 2023,18/01/25,R$ 454.247,11ª Vara Trabalhista de Recife,
155,7862554-22.2024.7.83.6459,1459,trabalhista,instrução,acordo,Dr. Barros,15/04/2025,2026-07-04,70206,5ª Vara Trabalhista de Recife,
156,9425559-65.2022.6.99.1309,493,Trabalhista,arquivado,Ativo,Dra Fontes,2021-12-07,05/11/2025,135740,14ª Vara Criminal de Recife,em negociação
157,7813974-60.2021.1.81.1542,1375,trabalhista,audiência,Encerrado,DRA. CAVALCANTE,23 de junho de 2022,,R$ 408.586,18ª Vara Criminal de Recife,urgente
158,7486138-99.2020.5.81.4332,683,cível,inicial,encerrado,Dra. Fontes,19 de abril de 2023,31/05/26,,12ª Vara Criminal de Recife,urgente
159,3785792-10.2020.5.78.7940,973,trabalhista,audiência,active,Dr. Barros,26/08/24,18 de julho de 2025,R$ 361.517,13ª Vara Criminal de Recife,em negociação
160,2658962-39.2022.5.95.8856,774,trabalhista,instrução,appeal,Dra. Cavalcante,8 de setembro de 2021,15 de janeiro de 2026,51544.00,8ª Vara Cível de Recife,urgente
161,9302979-43.2025.9.68.7487,574,TRABALHISTA,arquivado,ATIVO,Dra Fontes,09/12/2021,20 de maio de 2025,287162,17ª Vara Criminal de Recife,aguardando documentos
162,9992831-61.2022.4.35.1469,1001,Civil,audiência,encerrado,Dra Fontes,2023-01-21,2026-10-28,378745,19ª Vara Trabalhista de Recife,em negociação
163,3542616-60.2022.3.87.6536,914,Civil,recurso,ativo,Dr. Melo,4 de maio de 2025,6 de março de 2026,144008.00,14ª Vara Trabalhista de Recife,
164,3464073-25.2022.8.73.5075,632,Civil,execução,ativo,Dra. Fontes,27/12/2020,,R$ 113.893,20ª Vara Criminal de Recife,
165,1778149-24.2023.1.86.3557,1318,cível,inicial,active,dr. melo,2024-08-02,2026-01-01,143093,17ª Vara Trabalhista de Recife,cliente não responde
166,5788467-41.2023.8.93.8134,866,trabalhista,sentença,ATIVO,DRA. CAVALCANTE,31/03/2022,14 de maio de 2025,21720.00,9ª Vara Trabalhista de Recife,
167,3260101-88.2022.8.37.9169,162,civil,execução,encerrado,Dra. Fontes,21/01/24,21/03/2025,,3ª Vara Cível de Recife,aguardando documentos
