cliente_id,nome,cpf,contato,email,data_inicio,cidade
62,Mateus Queiroz,495.779.911-93,(81) 98749-7246,cliente62@email.com,2021-09-15,Olinda
63,Vitor Macedo,839.247.519-93,(81) 98486-1251,Não informado,2021-09-24,Caruaru
64,Mariana Fonseca,741.835.877-72,(81) 97226-6188,Não informado,2026-01-25,Olinda
65,Roberto Dias,270.810.406-13,(81) 92646-8269,cliente65@email.com,2020-07-07,Caruaru
66,Diego Nunes,180.724.991-58,(81) 93785-3868,cliente66@email.com,2022-09-13,Olinda
67,Aline Monteiro,261.175.552-54,(81) 95712-9955,cliente67@email.com,2023-05-10,Recife
68,Felipe Barbosa,688.402.816-47,(81) 97248-6881,cliente68@email.com,2020-03-30,Caruaru
69,João Silva,720.863.608-46,Não informado,cliente69@email.com,2022-07-31,Olinda
70,Roberto Dias,742.761.140-49,(81) 93240-2591,Não informado,2024-12-10,Recife
71,Lucas Pereira,643.613.379-31,(81) 99837-6994,cliente71@email.com,2022-11-18,Caruaru
72,Vera Pires,872.331.980-96,Não informado,cliente72@email.com,2024-06-15,Recife
73,Isabela Cardoso,942.753.480-23,(81) 95295-7242,cliente73@email.com,2022-08-15,Recife
74,Thiago Gomes,146.138.411-73,(81) 92911-3290,Não informado,2021-04-20,Petrolina
75,Aline Monteiro,770.201.953-72,(81) 93531-7797,cliente75@email.com,2024-07-29,Recife
76,Mateus Queiroz,760.467.162-60,(81) 97018-9920,cliente76@email.com,2023-02-04,Petrolina
77,Fernanda Costa,905.441.349-26,Não informado,cliente77@email.com,2026-01-05,Recife
78,Larissa Ribeiro,233.653.356-32,(81) 95542-3370,cliente78@email.com,2021-03-26,Olinda
79,João Silva,371.153.229-63,Não informado,cliente79@email.com,2025-11-24,Petrolina
80,Henrique Nascimento,408.569.758-13,(81) 91710-9543,cliente80@email.com,2020-09-06,Petrolina
81,Claudia Silveira,229.381.739-91,(81) 93430-2076,cliente81@email.com,2026-02-24,Recife
82,Tatiana Cruz,562.333.523-53,(81) 94522-8046,cliente82@email.com,2025-01-31,Caruaru
83,Renata Freitas,195.542.198-57,(81) 92494-2398,cliente83@email.com,2021-06-16,Recife
84,Juliana Ferreira,714.419.460-23,(81) 91842-5712,cliente84@email.com,2025-09-09,Olinda
85,Rafael Alves,723.773.949-98,(81) 98030-1430,Não informado,2022-12-31,Recife
86,Jorge Brito,245.858.748-13,(81) 97566-2140,cliente86@email.com,2021-10-01,Petrolina
87,Gustavo Lopes,259.261.872-89,(81) 92391-1861,cliente87@email.com,2020-07-22,Petrolina
88,Alexandre Paiva,213.390.794-96,(81) 96655-8043,cliente88@email.com,2025-06-16,Recife
89,Thiago Gomes,396.435.222-10,(81) 93248-5186,cliente89@email.com,2025-07-30,Olinda
90,Leandro Pinto,546.119.570-19,(81) 97505-1693,cliente90@email.com,2023-07-06,Recife
91,Roberto Dias,190.547.964-23,(81) 98538-6928,cliente91@email.com,2022-09-23,Recife
92,Fernanda Costa,643.622.298-54,(81) 99363-2868,cliente92@email.com,2023-09-12,Olinda
93,Rafael Alves,575.872.677-84,(81) 93902-9095,cliente93@email.com,2025-01-12,Recife
94,Eduardo Ramos,619.175.417-69,(81) 91920-6766,Não informado,2025-01-25,Caruaru
95,Pedro Santos,929.685.767-34,(81) 91672-8368,cliente95@email.com,2023-09-08,Recife
96,Henrique Nascimento,353.824.548-66,(81) 93827-1641,cliente96@email.com,2025-11-16,Caruaru
97,Gabriela Teixeira,437.196.671-96,(81) 96482-2079,cliente97@email.com,2024-02-05,Caruaru
98,Fernanda Costa,709.825.186-49,(81) 97421-3112,cliente98@email.com,2026-04-08,Olinda
99,Alexandre Paiva,470.118.471-49,(81) 97937-9331,cliente99@email.com,2022-01-08,Petrolina
100,Bruno Araújo,138.777.444-89,(81) 99843-9626,cliente100@email.com,2021-06-20,Olinda
101,Camila Martins,792.836.343-66,(81) 97731-6968,cliente101@email.com,2023-03-13,Olinda
102,André Borges,887.388.896-58,(81) 98218-8564,cliente102@email.com,2025-08-21,Olinda
103,Leonardo Campos,971.227.391-20,(81) 92680-9452,cliente103@email.com,2021-10-18,Petrolina
104,Fernanda Costa,154.505.614-57,Não informado,cliente104@email.com,2022-08-23,Caruaru
105,Thiago Gomes,240.139.393-70,(81) 96493-3392,cliente105@email.com,2021-07-22,Petrolina
106,Mariana Fonseca,362.320.955-29,Não informado,cliente106@email.com,2026-02-25,Recife
107,Sonia Tavares,213.956.611-86,(81) 98489-2029,Não informado,2026-04-01,Recife
108,Beatriz Rocha,636.469.169-77,(81) 94068-2402,cliente108@email.com,2026-02-06,Petrolina
109,Fabio Vieira,907.169.453-40,(81) 91266-6850,cliente109@email.com,2021-02-28,Olinda
110,Carlos Souza,930.238.164-68,(81) 98840-3986,cliente110@email.com,2020-05-31,Olinda
111,Carlos Souza,392.465.982-16,(81) 91599-4131,cliente111@email.com,2023-09-21,Petrolina
112,Isabela Cardoso,916.631.373-20,(81) 99151-7018,Não informado,2024-04-10,Recife
113,Rodrigo Cavalcanti,806.554.459-67,(81) 97981-3730,cliente113@email.com,2020-06-22,Recife
114,Renata Freitas,752.515.472-75,Não informado,cliente114@email.com,2021-10-17,Recife
115,Claudia Silveira,897.760.475-56,Não informado,cliente115@email.com,2024-04-17,Recife
116,Beatriz Rocha,507.421.765-45,(81) 99674-7012,cliente116@email.com,2022-10-19,Recife
117,Camila Martins,726.392.810-72,(81) 98311-4515,cliente117@email.com,2022-03-30,Petrolina
118,Camila Martins,826.166.663-79,(81) 96236-6692,cliente118@email.com,2023-04-04,Recife
119,Denise Nogueira,342.909.605-13,(81) 94292-3275,cliente119@email.com,2024-01-18,Petrolina
120,Simone Cunha,520.887.519-83,(81) 98842-9612,cliente120@email.com,2020-10-29,Recife
121,Pedro Santos,543.614.989-17,(81) 93981-3114,cliente121@email.com,2021-05-23,Olinda
122,Marcos Carvalho,301.750.664-45,(81) 92292-5105,cliente122@email.com,2021-05-27,Recife
123,Cristina Azevedo,945.984.129-20,(81) 96531-1674,cliente123@email.com,2020-07-05,Recife
124,Larissa Ribeiro,594.350.924-97,(81) 95745-5949,cliente124@email.com,2024-07-21,Recife
125,Ana Lima,508.233.878-57,(81) 96231-6658,cliente125@email.com,2025-10-10,Olinda
126,Aline Monteiro,493.984.730-63,Não informado,cliente126@email.com,2022-10-13,Caruaru
127,Daniel Batista,123.192.502-74,(81) 96055-9148,cliente127@email.com,2025-02-15,Recife
128,Diego Nunes,649.108.967-23,(81) 98710-5681,cliente128@email.com,2024-10-31,Recife
129,Gabriela Teixeira,495.616.561-80,(81) 95728-2204,cliente129@email.com,2023-02-19,Olinda
130,Rafael Alves,511.612.141-15,(81) 94261-9341,cliente130@email.com,2020-06-08,Petrolina
131,Tatiana Cruz,731.857.962-48,(81) 93662-7438,cliente131@email.com,2023-10-09,Recife
132,Daniel Batista,711.585.371-93,(81) 96040-1436,cliente132@email.com,2022-07-21,Olinda
133,Tatiana Cruz,295.119.551-50,(81) 91517-2800,cliente133@email.com,2024-11-09,Petrolina
134,Vitor Macedo,312.674.432-94,(81) 93262-9498,cliente134@email.com,2025-05-13,Olinda
135,Aline Monteiro,296.352.385-81,(81) 95331-8932,cliente135@email.com,2023-05-07,Caruaru
136,Denise Nogueira,224.687.792-79,(81) 95480-5715,cliente136@email.com,2024-04-04,Caruaru
137,Sonia Tavares,865.590.319-35,(81) 98247-5201,cliente137@email.com,2026-01-15,Olinda
138,Rafael Alves,202.523.438-70,(81) 94814-1860,cliente138@email.com,2021-02-15,Recife
139,Simone Cunha,428.392.761-17,(81) 94267-5706,cliente139@email.com,2021-01-01,Recife
140,Vera Pires,956.506.906-73,(81) 93880-1595,cliente140@email.com,2022-02-02,Recife
141,João Silva,605.237.971-74,(81) 99901-9590,cliente141@email.com,2025-04-01,Caruaru
142,Marcos Carvalho,445.909.402-82,Não informado,cliente142@email.com,2022-03-02,Petrolina
143,Vitor Macedo,367.492.341-67,(81) 95064-1111,cliente143@email.com,2022-12-29,Recife
144,Paulo Rezende,263.515.802-74,(81) 98625-6026,cliente144@email.com,2023-06-27,Caruaru
145,Mariana Fonseca,818.662.582-78,(81) 97121-7813,cliente145@email.com,2022-06-13,Recife
146,Henrique Nascimento,686.649.253-31,(81) 99281-4312,cliente146@email.com,2023-09-05,Recife
147,Claudia Silveira,625.525.567-82,(81) 98429-3161,cliente147@email.com,2020-08-24,Recife
148,Maria Oliveira,452.817.165-79,Não informado,cliente148@email.com,2020-09-03,Petrolina
149,Carlos Souza,491.559.990-58,(81) 97887-7135,Não informado,2024-03-18,Recife
150,Diego Nunes,405.574.789-79,(81) 91056-1372,cliente150@email.com,2024-03-10,Olinda
151,Aline Monteiro,346.311.168-22,(81) 97868-1256,cliente151@email.com,2020-05-17,Olinda
152,Vera Pires,615.396.339-83,(81) 91924-3295,cliente152@email.com,2023-07-30,Olinda
153,Patricia Moura,669.607.148-54,(81) 93869-7999,cliente153@email.com,2024-04-10,Recife
154,Gustavo Lopes,978.824.247-69,(81) 94692-5927,cliente154@email.com,2020-08-24,Recife
155,Tatiana Cruz,648.841.949-34,(81) 97079-2514,cliente155@email.com,2020-07-30,Recife
156,Bruno Araújo,115.316.294-25,(81) 96455-5967,cliente156@email.com,2025-05-15,Petrolina
157,Amanda Castro,625.609.577-22,(81) 95285-6892,cliente157@email.com,2025-04-07,Olinda
158,Gabriela Teixeira,666.698.693-63,(81) 91265-5272,cliente158@email.com,2023-04-24,Olinda
159,Leandro Pinto,571.272.850-55,(81) 99005-9037,cliente159@email.com,2021-11-24,Olinda
160,André Borges,522.240.962-90,(81) 91794-1104,Não informado,2022-05-08,Recife
161,Larissa Ribeiro,116.106.644-80,(81) 98916-8993,Não informado,2024-08-11,Recife
162,Rodrigo Cavalcanti,198.636.252-40,(81) 93937-2753,cliente162@email.com,2022-02-25,Caruaru
163,Natalia Mendes,800.947.968-20,(81) 94700-5914,Não informado,2020-05-09,Petrolina
164,Simone Cunha,640.143.335-37,(81) 96427-2562,cliente164@email.com,2025-05-01,Recife
165,Natalia Mendes,870.940.829-60,(81) 94394-3362,cliente165@email.com,2020-11-11,Recife
166,Leandro Pinto,863.454.154-22,(81) 92284-9204,cliente166@email.com,2024-11-25,Caruaru
167,Leonardo Campos,379.902.561-72,Não informado,cliente167@email.com,2022-07-23,Petrolina
168,Camila Martins,374.257.489-91,(81) 92204-2344,cliente168@email.com,2021-09-23,Caruaru
169,Rafael Alves,541.559.670-81,(81) 92430-4070,cliente169@email.com,2025-09-29,Recife
170,Diego Nunes,523.497.897-20,Não informado,cliente170@email.com,2026-10-04,Recife
171,Tatiana Cruz,545.382.531-48,(81) 92036-3739,cliente171@email.com,2025-06-06,Caruaru
172,Amanda Castro,440.961.735-58,(81) 91110-7483,cliente172@email.com,2023-09-11,Recife
173,Leonardo Campos,398.852.811-91,(81) 97524-6228,cliente173@email.com,2025-04-07,Caruaru
174,Leandro Pinto,798.886.663-13,(81) 99939-3947,cliente174@email.com,2025-05-03,Petrolina
175,Rodrigo Cavalcanti,347.358.774-29,(81) 93280-5961,cliente175@email.com,2024-09-29,Petrolina
176,Leonardo Campos,909.468.818-78,(81) 99907-1602,cliente176@email.com,2020-12-14,Recife
177,Alexandre Paiva,915.540.208-11,(81) 97547-6432,cliente177@email.com,2021-07-02,Petrolina
178,Gabriela Teixeira,207.402.525-20,(81) 91402-8909,cliente178@email.com,2021-04-20,Caruaru
179,Patricia Moura,168.407.145-24,(81) 98412-6225,cliente179@email.com,2020-04-02,Recife
180,Marcos Carvalho,337.916.514-90,(81) 97985-8570,cliente180@email.com,2022-01-25,Petrolina
181,Maria Oliveira,319.310.385-18,Não informado,cliente181@email.com,2021-02-20,Caruaru
182,Eduardo Ramos,725.501.701-24,(81) 96134-7367,cliente182@email.com,2023-11-26,Recife
183,Camila Martins,220.344.412-24,(81) 93194-6131,cliente183@email.com,2022-01-19,Recife
184,Leandro Pinto,601.395.243-33,(81) 93838-3733,cliente184@email.com,2023-07-12,Caruaru
185,João Silva,525.827.960-66,(81) 97703-9056,cliente185@email.com,2025-06-24,Olinda
186,Rodrigo Cavalcanti,662.623.215-83,(81) 98492-9115,cliente186@email.com,2021-04-12,Recife
187,Jorge Brito,853.949.769-41,(81) 97965-2677,cliente187@email.com,2023-05-04,Petrolina
188,Felipe Barbosa,930.855.702-98,(81) 94882-4438,cliente188@email.com,2023-12-07,Olinda
189,Mariana Fonseca,459.645.387-86,Não informado,cliente189@email.com,2026-01-15,Caruaru
190,Daniel Batista,383.987.771-26,(81) 97743-1971,cliente190@email.com,2021-06-27,Olinda
191,Jorge Brito,177.748.913-21,(81) 97146-8405,cliente191@email.com,2024-07-08,Recife
192,Gabriela Teixeira,750.780.814-55,(81) 92526-8511,cliente192@email.com,2020-09-16,Olinda
193,Renata Freitas,907.451.798-16,(81) 93139-8951,Não informado,2020-07-07,Recife
194,Juliana Ferreira,262.995.997-45,(81) 93161-5945,cliente194@email.com,2021-01-17,Recife
195,Gabriela Teixeira,771.193.820-22,(81) 94836-8032,cliente195@email.com,2020-01-05,Olinda
196,Luciana Melo,589.172.334-59,(81) 97919-3165,cliente196@email.com,2020-12-31,Recife
197,Eduardo Ramos,643.676.108-88,(81) 93340-2120,cliente197@email.com,2021-03-11,Recife
198,Vera Pires,870.226.703-59,(81) 92646-3293,cliente198@email.com,2023-12-10,Olinda
199,Amanda Castro,310.630.721-75,(81) 91439-5942,cliente199@email.com,2022-02-11,Recife
200,Ana Lima,112.469.424-26,(81) 92163-9655,cliente200@email.com,2024-05-03,Caruaru
201,André Borges,169.114.368-37,Não informado,cliente201@email.com,2020-06-12,Recife
202,Rodrigo Cavalcanti,730.256.384-20,(81) 99791-9808,Não informado,2023-06-23,Olinda
203,André Borges,847.966.344-17,(81) 96081-8167,Não informado,2022-09-28,Recife
204,Aline Monteiro,818.111.267-73,(81) 91207-3248,cliente204@email.com,2023-11-21,Olinda
205,Gabriela Teixeira,926.539.378-77,(81) 91480-6488,cliente205@email.com,2020-09-18,Petrolina
206,Aline Monteiro,333.858.621-10,(81) 92685-2889,cliente206@email.com,2020-06-29,Olinda
207,Carlos Souza,429.354.526-50,(81) 97870-4678,cliente207@email.com,2023-01-16,Recife
208,Vitor Macedo,510.170.998-69,Não informado,cliente208@email.com,2023-03-02,Caruaru
209,Fernanda Costa,575.477.705-73,(81) 95979-4974,cliente209@email.com,2022-11-03,Olinda
210,João Silva,101.877.773-58,(81) 91157-6488,cliente210@email.com,2023-06-13,Petrolina
211,Priscila Andrade,337.965.632-62,Não informado,cliente211@email.com,2024-03-05,Recife
212,Rafael Alves,398.367.971-50,(81) 93141-4879,cliente212@email.com,2024-05-28,Caruaru
213,Henrique Nascimento,268.560.577-50,(81) 93546-2731,cliente213@email.com,2024-07-23,Olinda
214,Henrique Nascimento,955.977.435-28,(81) 91660-4522,cliente214@email.com,2021-01-08,Petrolina
215,Vitor Macedo,514.975.563-81,(81) 93848-1509,cliente215@email.com,2026-03-03,Recife
216,Lucas Pereira,802.745.760-20,(81) 97563-7098,cliente216@email.com,2022-11-26,Recife
217,Pedro Santos,143.572.151-31,(81) 96432-3007,cliente217@email.com,2024-11-09,Petrolina
218,Maria Oliveira,135.728.734-88,(81) 98307-3435,cliente218@email.com,2022-10-03,Petrolina
219,Simone Cunha,745.921.656-12,(81) 99614-5082,cliente219@email.com,2024-04-15,Petrolina
220,André Borges,711.324.130-45,(81) 91427-6224,cliente220@email.com,2020-08-27,Recife
221,Diego Nunes,935.910.854-17,(81) 95366-9743,cliente221@email.com,2022-06-17,Caruaru
222,Camila Martins,681.677.245-82,(81) 91462-6761,cliente222@email.com,2022-02-10,Recife
223,Patricia Moura,716.324.120-77,Não informado,Não informado,2025-11-05,Olinda
224,Vanessa Correia,700.821.245-24,Não informado,cliente224@email.com,2025-11-25,Caruaru
225,Denise Nogueira,910.754.598-93,(81) 93580-8157,cliente225@email.com,2023-07-23,Olinda
226,Alexandre Paiva,971.889.681-14,(81) 91029-7415,cliente226@email.com,2022-01-15,Recife
227,Daniel Batista,455.427.271-91,Não informado,cliente227@email.com,2020-12-29,Petrolina
228,João Silva,495.548.850-63,(81) 91020-1788,cliente228@email.com,2021-11-12,Petrolina
229,Diego Nunes,562.175.918-14,(81) 94695-3664,Não informado,2023-04-22,Recife
230,Pedro Santos,195.446.708-88,Não informado,cliente230@email.com,2025-05-31,Recife
231,Marcos Carvalho,371.776.388-48,(81) 97705-9849,Não informado,2022-08-30,Recife
232,Simone Cunha,199.126.311-31,(81) 98869-4271,cliente232@email.com,2023-04-10,Recife
233,Patricia Moura,479.490.478-33,(81) 97349-4029,Não informado,2024-12-30,Petrolina
234,Felipe Barbosa,927.654.523-85,(81) 92404-6632,cliente234@email.com,2022-07-20,Recife
235,Gustavo Lopes,504.974.831-14,(81) 95896-2293,cliente235@email.com,2025-08-18,Recife
236,Jorge Brito,180.799.545-35,(81) 91699-7936,cliente236@email.com,2021-08-28,Caruaru
237,Paulo Rezende,569.994.112-99,(81) 95525-9514,cliente237@email.com,2025-11-10,Petrolina
238,Beatriz Rocha,988.648.452-62,(81) 92654-5687,cliente238@email.com,2022-12-17,Recife
239,Leonardo Campos,505.439.807-40,(81) 97581-1635,cliente239@email.com,2020-07-20,Caruaru
240,Maria Oliveira,237.407.861-66,(81) 92609-4734,cliente240@email.com,2023-08-07,Recife
241,Cristina Azevedo,940.157.627-30,(81) 99462-7126,cliente241@email.com,2020-09-25,Olinda
242,Sonia Tavares,133.567.151-56,(81) 91944-5087,cliente242@email.com,2022-03-26,Recife
243,Isabela Cardoso,700.664.458-54,(81) 93909-8775,cliente243@email.com,2021-10-31,Recife
244,Mateus Queiroz,974.685.898-37,Não informado,cliente244@email.com,2022-06-25,Caruaru
245,Cristina Azevedo,235.762.277-86,(81) 91145-8767,cliente245@email.com,2020-02-04,Recife
246,Denise Nogueira,793.633.944-89,(81) 98646-5950,cliente246@email.com,2024-06-14,Recife
247,Alexandre Paiva,165.444.383-91,(81) 92771-8892,cliente247@email.com,2023-08-24,Recife
248,Denise Nogueira,776.427.797-27,(81) 91930-7620,cliente248@email.com,2020-04-14,Caruaru
249,Gustavo Lopes,802.647.753-70,(81) 96622-4643,cliente249@email.com,2024-08-01,Recife
250,Simone Cunha,770.191.327-55,(81) 93999-6499,cliente250@email.com,2022-07-03,Petrolina
251,Vanessa Correia,299.612.222-97,(81) 92166-8736,cliente251@email.com,2024-04-12,Recife
252,Beatriz Rocha,423.983.832-33,(81) 98496-3346,cliente252@email.com,2020-11-27,Caruaru
253,Roberto Dias,601.904.881-21,(81) 93762-3595,cliente253@email.com,2021-06-14,Petrolina
254,Renata Freitas,875.953.643-34,(81) 91230-6279,cliente254@email.com,2020-03-14,Olinda
255,Mateus Queiroz,405.397.566-76,(81) 92069-1749,cliente255@email.com,2025-11-16,Caruaru
256,Priscila Andrade,844.234.316-12,(81) 94742-4675,cliente256@email.com,2025-08-28,Recife
257,Cristina Azevedo,769.956.120-16,(81) 91785-2771,cliente257@email.com,2021-04-19,Recife
258,Simone Cunha,530.777.203-94,Não informado,cliente258@email.com,2025-01-11,Petrolina
259,Rafael Alves,951.635.306-55,(81) 94272-5308,cliente259@email.com,2024-08-05,Recife
260,Priscila Andrade,191.213.955-83,Não informado,cliente260@email.com,2025-07-16,Recife
261,Pedro Santos,575.151.202-32,(81) 95850-5327,cliente261@email.com,2020-06-10,Recife
262,Eduardo Ramos,241.779.762-31,Não informado,cliente262@email.com,2023-09-08,Recife
263,Natalia Mendes,955.494.806-71,(81) 98479-5453,cliente263@email.com,2024-09-23,Recife
264,Lucas Pereira,285.725.488-55,(81) 98908-8178,cliente264@email.com,2020-04-28,Petrolina
265,Priscila Andrade,785.994.446-76,(81) 99598-4669,cliente265@email.com,2025-11-12,Petrolina
266,Alexandre Paiva,758.260.617-70,(81) 91894-1190,cliente266@email.com,2025-07-23,Petrolina
267,Eduardo Ramos,180.570.554-83,(81) 97607-4850,Não informado,2025-01-09,Petrolina
268,Eduardo Ramos,945.193.910-87,(81) 99996-1002,cliente268@email.com,2023-01-06,Recife
269,Alexandre Paiva,833.772.472-67,(81) 96439-8751,Não informado,2021-12-04,Recife
270,Vanessa Correia,268.604.243-62,(81) 92741-1750,cliente270@email.com,2021-03-14,Olinda
271,Juliana Ferreira,147.748.957-96,(81) 92765-7790,cliente271@email.com,2021-05-19,Petrolina
272,Alexandre Paiva,853.149.666-65,Não informado,cliente272@email.com,2025-01-06,Recife
273,Luciana Melo,493.528.723-98,(81) 96273-9259,cliente273@email.com,2022-10-13,Caruaru
274,Henrique Nascimento,828.854.666-90,(81) 99975-6143,cliente274@email.com,2022-06-09,Recife
275,Diego Nunes,827.218.879-55,(81) 99888-6281,cliente275@email.com,2026-04-22,Recife
276,Vera Pires,209.125.490-28,Não informado,cliente276@email.com,2020-05-08,Caruaru
277,Jorge Brito,871.654.133-55,(81) 95835-4342,cliente277@email.com,2025-01-27,Recife
278,Cristina Azevedo,496.526.907-97,(81) 91769-7251,cliente278@email.com,2023-07-04,Recife
279,Vera Pires,856.717.301-34,(81) 97025-9955,cliente279@email.com,2023-04-19,Olinda
280,Camila Martins,105.438.577-29,(81) 93636-5178,cliente280@email.com,2020-06-12,Recife
281,Ana Lima,902.824.425-77,(81) 96866-2194,cliente281@email.com,2022-06-19,Recife
282,Marcos Carvalho,469.400.323-89,(81) 96437-6424,cliente282@email.com,2025-12-12,Recife
283,Alexandre Paiva,490.915.216-59,(81) 91653-6258,cliente283@email.com,2022-11-16,Recife
284,Tatiana Cruz,767.297.428-75,Não informado,cliente284@email.com,2020-03-12,Recife
285,Andre Borges,786.744.892-37,Não informado,cliente285@email.com,2024-03-10,Recife
286,Mateus Queiroz,570.834.439-14,(81) 93519-1389,Não informado,2020-12-24,Caruaru
